Geno,Block,Row,Col,BF1_2010,BF2_2010,BF_ave_2010
BESC-186,C,5,61,0,1,0.5
BESC-186,A,27,23,0,0,0
BESC-187,A,9,23,0,0,0
BESC-187,B,64,26,0,2,1
BESC-187,C,31,53,0,0,0
BESC-188,B,57,10,0,0,0
BESC-188,A,8,17,0,1,0.5
BESC-188,C,22,44,0,0,0
BESC-189,B,65,3,0,1,0.5
BESC-189,C,14,41,1,1,1
BESC-189,A,17,18,0,0,0
BESC-19,C,26,32,0,1,0.5
BESC-19,B,60,9,1,2,1.5
BESC-190,C,21,43,0,0,0
BESC-190,A,29,15,0,1,0.5
BESC-190,B,44,16,0,1,0.5
BESC-191,C,21,47,0,1,0.5
BESC-191,A,16,13,0,1,0.5
BESC-191,B,73,28,0,1,0.5
BESC-192,C,25,58,0,1,0.5
BESC-192,B,71,10,0,1,0.5
BESC-192,A,10,19,0,1,0.5
BESC-193,A,4,2,0,0,0
BESC-193,B,46,6,0,1,0.5
BESC-193,C,29,57,0,1,0.5
BESC-194,A,7,11,0,0,0
BESC-194,C,3,53,0,0,0
BESC-195,B,56,24,0,1,0.5
BESC-195,A,6,24,0,0,0
BESC-195,C,21,44,0,0,0
BESC-196,A,26,25,0,0,0
BESC-196,B,46,20,0,0,0
BESC-197,C,21,55,0,0,0
BESC-197,B,48,18,0,0,0
BESC-197,A,21,20,0,0,0
BESC-198,A,2,5,0,0,0
BESC-198,B,46,22,0,1,0.5
BESC-198,C,30,62,0,0,0
BESC-199,C,37,36,0,2,1
BESC-199,A,20,12,0,0,0
BESC-199,B,40,11,0,0,0
BESC-2,B,65,21,0,2,1
BESC-2,A,35,29,0,1,0.5
BESC-2,C,34,53,0,1,0.5
BESC-20,C,5,55,0,1,0.5
BESC-20,A,10,16,0,0,0
BESC-20,B,49,16,0,1,0.5
BESC-200,C,12,53,0,2,1
BESC-200,B,65,20,1,2,1.5
BESC-200,A,34,32,0,2,1
BESC-201,C,14,33,0,0,0
BESC-201,B,43,26,0,1,0.5
BESC-201,A,25,12,0,0,0
BESC-202,C,3,57,0,2,1
BESC-202,B,66,9,0,0,0
BESC-202,A,24,19,0,1,0.5
BESC-203,A,13,7,0,0,0
BESC-203,B,75,3,0,2,1
BESC-203,C,26,58,0,1,0.5
BESC-204,A,11,29,0,1,0.5
BESC-204,C,25,39,1,0,0.5
BESC-204,B,70,13,0,1,0.5
BESC-205,C,23,61,0,0,0
BESC-205,B,76,14,1,1,1
BESC-205,A,5,22,0,0,0
BESC-206,A,3,18,1,1,1
BESC-206,C,3,50,0,2,1
BESC-207,A,15,10,1,1,1
BESC-207,C,32,52,0,0,0
BESC-207,B,60,18,0,0,0
BESC-208,B,72,12,1,2,1.5
BESC-208,A,20,7,0,1,0.5
BESC-208,C,4,43,0,1,0.5
BESC-209,C,35,53,0,1,0.5
BESC-209,B,50,14,1,2,1.5
BESC-209,A,33,11,0,0,0
BESC-21,C,20,37,0,2,1
BESC-21,B,64,22,1,2,1.5
BESC-21,A,29,19,0,2,1
BESC-210,C,8,52,0,2,1
BESC-210,B,52,26,0,2,1
BESC-210,A,2,14,0,2,1
BESC-211,B,40,16,0,1,0.5
BESC-211,C,3,45,0,1,0.5
BESC-211,A,25,2,0,1,0.5
BESC-212,A,8,28,0,0,0
BESC-212,C,30,39,0,0,0
BESC-212,B,71,17,0,3,1.5
BESC-213,C,26,41,1,0,0.5
BESC-213,B,62,5,0,3,1.5
BESC-213,A,6,9,0,1,0.5
BESC-214,C,16,39,0,0,0
BESC-214,B,58,28,0,0,0
BESC-214,A,29,30,0,0,0
BESC-215,A,19,19,0,0,0
BESC-215,B,54,3,0,0,0
BESC-215,C,15,54,0,0,0
BESC-216,A,6,5,0,2,1
BESC-216,C,31,35,0,1,0.5
BESC-216,B,55,4,0,2,1
BESC-217,C,30,59,0,1,0.5
BESC-217,A,27,10,0,0,0
BESC-217,B,63,23,0,0,0
BESC-218,A,34,16,0,1,0.5
BESC-218,B,54,23,0,0,0
BESC-218,C,6,49,0,0,0
BESC-219,B,43,19,0,1,0.5
BESC-219,A,5,11,0,1,0.5
BESC-219,C,13,32,0,1,0.5
BESC-22,C,19,43,0,1,0.5
BESC-22,A,36,7,0,1,0.5
BESC-22,B,53,24,0,1,0.5
BESC-220,C,5,48,0,0,0
BESC-220,B,44,18,0,0,0
BESC-220,A,23,31,0,0,0
BESC-221,A,32,10,0,2,1
BESC-221,C,25,51,0,2,1
BESC-221,B,61,29,0,2,1
BESC-222,C,32,40,0,2,1
BESC-222,A,11,27,0,0,0
BESC-222,B,51,24,0,2,1
BESC-223,C,16,47,0,0,0
BESC-223,B,68,21,0,1,0.5
BESC-223,A,15,15,0,0,0
BESC-224,A,13,11,0,1,0.5
BESC-224,C,34,54,0,1,0.5
BESC-224,B,67,17,1,2,1.5
BESC-225,C,33,57,0,0,0
BESC-225,A,3,31,0,0,0
BESC-225,B,44,25,0,0,0
BESC-226,B,44,13,0,1,0.5
BESC-226,A,18,15,0,1,0.5
BESC-226,C,15,50,0,1,0.5
BESC-227,C,9,50,0,1,0.5
BESC-227,B,71,13,0,1,0.5
BESC-227,A,33,18,0,1,0.5
BESC-228,C,20,56,0,2,1
BESC-228,B,69,16,0,2,1
BESC-228,A,23,26,1,2,1.5
BESC-229,C,37,61,0,0,0
BESC-229,A,33,30,0,0,0
BESC-229,B,51,6,0,0,0
BESC-23,A,11,13,0,2,1
BESC-23,B,64,4,0,2,1
BESC-23,C,15,34,0,2,1
BESC-230,C,34,45,0,1,0.5
BESC-230,A,27,18,0,1,0.5
BESC-230,B,40,15,0,1,0.5
BESC-231,B,66,14,0,2,1
BESC-231,C,30,38,0,2,1
BESC-231,A,6,3,0,3,1.5
BESC-232,C,27,62,0,2,1
BESC-232,A,19,8,0,2,1
BESC-232,B,62,9,0,2,1
BESC-233,B,43,7,0,1,0.5
BESC-233,A,5,6,0,1,0.5
BESC-233,C,24,38,0,0,0
BESC-234,A,23,3,0,1,0.5
BESC-234,B,52,27,0,1,0.5
